Stock,Name,Sector,Cap,Pattern,TF,Date,Status,Breakout_Zone,CMP,Upside_%,Quality,Vol_Surge,CANSLIM,Reco,Window
BAJAJELEC,Bajaj Electricals Limited,Consumer Cyclical,Small,DoubleBottom,Weekly,2026-04-23,Breakout Ready,1742.1,2089.0,0.0,0.245,2.95,5,BUY — moderate,100
STEL,STEL Holdings Limited,Financial Services,Small,DoubleBottom,Daily,2026-04-23,Breakout Ready,9.61,10.38,0.0,0.213,1.66,5,BUY — moderate,100
WABAG,VA Tech Wabag Limited,Industrials,Mid,BullFlag,Weekly,2026-04-20,Breakout Ready,566.25,566.25,0.0,0.16,2.63,5,BUY — moderate,15
ADL,Archidply Decor Limited,Consumer Cyclical,Micro,DoubleBottom,Weekly,2026-04-20,Breakout Ready,238.84,246.83,0.0,0.154,3.17,5,BUY — moderate,40
DHAMPURSUG,Dhampur Sugar Mills Limited,Consumer Defensive,Small,DoubleBottom,Weekly,2026-04-20,Breakout Ready,141.63,151.62,0.0,0.129,1.52,5,BUY — moderate,40
WABAG,VA Tech Wabag Limited,Industrials,Mid,DoubleBottom,Weekly,2026-04-20,Breakout Ready,453.0,566.25,0.0,0.121,2.0,5,BUY — moderate,40
VIDYAWIRES,VIDYA WIRES LIMITED,Industrials,Small,BullFlag,Weekly,2026-04-23,Breakout Ready,227.48,227.48,0.0,0.118,1.29,5,BUY — moderate,15
EPACKPEB,EPACK PREFAB TECHN LTD,Industrials,Small,InverseHS,Weekly,2026-04-23,Breakout Ready,2713.54,3234.9,0.0,0.114,1.25,5,BUY — moderate,80
RAMRAT,Ram Ratna Wires Limited,Industrials,Small,DoubleBottom,Weekly,2026-04-23,Breakout Ready,12.06,14.19,0.0,0.111,1.57,5,BUY — moderate,40
RAMKY,Ramky Infrastructure Limited,Industrials,Small,DoubleBottom,Weekly,2026-04-23,Breakout Ready,12.06,14.19,0.0,0.111,1.57,5,BUY — moderate,40
EPACKPEB,EPACK PREFAB TECHN LTD,Industrials,Small,DoubleBottom,Weekly,2026-04-23,Breakout Ready,2997.8,3234.9,0.0,0.107,1.25,5,BUY — moderate,60
ASIANPAINT,Asian Paints Limited,Basic Materials,Large,BullFlag,Weekly,2026-04-23,Breakout Ready,316.77,315.67,0.0,0.086,1.23,5,BUY — moderate,15
ECLERX,eClerx Services Limited,Technology,Mid,InverseHS,Weekly,2026-04-23,Breakout Ready,201.67,207.46,0.0,0.066,1.86,5,BUY — moderate,60
SIGNPOST,Signpost India Limited,Communication Services,Small,DoubleBottom,Weekly,2026-04-23,Breakout Ready,461.35,475.0,0.0,0.06,1.27,5,BUY — moderate,60
WILLAMAGOR,Williamson Magor & Co. Limited,Financial Services,Micro,InverseHS,Weekly,2026-04-23,Breakout Ready,479.25,479.5,0.0,0.042,2.57,5,BUY — moderate,60
BAJAJELEC,Bajaj Electricals Limited,Consumer Cyclical,Small,InverseHS,Weekly,2026-04-23,Breakout Ready,1614.0,2089.0,0.0,0.024,2.95,5,BUY — moderate,120
STEL,STEL Holdings Limited,Financial Services,Small,InverseHS,Daily,2026-04-23,Breakout Ready,8.74,10.38,0.0,0.02,1.66,5,BUY — moderate,60
EPACKPEB,EPACK PREFAB TECHN LTD,Industrials,Small,FlatBase,Weekly,2026-04-23,Breakout Ready,3234.9,3234.9,0.0,0.016,1.25,5,BUY — moderate,60
ELIN,Elin Electronics Limited,Industrials,Small,InverseHS,Weekly,2026-04-23,Breakout Ready,60.27,75.14,0.0,0.01,3.71,5,BUY — moderate,60
EMAMIPAP,Emami Paper Mills Limited,Basic Materials,Micro,InverseHS,Weekly,2026-04-23,Breakout Ready,60.27,75.14,0.0,0.01,3.71,5,BUY — moderate,60
ELLEN,ELLENBARRIE INDUS GASES L,Basic Materials,Small,InverseHS,Weekly,2026-04-23,Breakout Ready,60.27,75.14,0.0,0.01,3.71,5,BUY — moderate,60
SIGNPOST,Signpost India Limited,Communication Services,Small,InverseHS,Weekly,2026-04-23,Breakout Ready,420.62,475.0,0.0,0.009,1.27,5,BUY — moderate,60
RAMRAT,Ram Ratna Wires Limited,Industrials,Small,InverseHS,Weekly,2026-04-23,Breakout Ready,12.28,14.19,0.0,-0.001,1.57,5,BUY — moderate,60
RAMKY,Ramky Infrastructure Limited,Industrials,Small,InverseHS,Weekly,2026-04-23,Breakout Ready,12.28,14.19,0.0,-0.001,1.57,5,BUY — moderate,60
VRLLOG,VRL Logistics Limited,Industrials,Small,DoubleBottom,Weekly,2026-04-23,Breakout Ready,114.91,126.39,0.0,-0.002,1.33,5,BUY — moderate,40
ELIN,Elin Electronics Limited,Industrials,Small,DoubleBottom,Weekly,2026-04-23,Breakout Ready,60.45,75.14,0.0,-0.003,3.71,5,BUY — moderate,40
EMAMIPAP,Emami Paper Mills Limited,Basic Materials,Micro,DoubleBottom,Weekly,2026-04-23,Breakout Ready,60.45,75.14,0.0,-0.003,3.71,5,BUY — moderate,40
ELLEN,ELLENBARRIE INDUS GASES L,Basic Materials,Small,DoubleBottom,Weekly,2026-04-23,Breakout Ready,60.45,75.14,0.0,-0.003,3.71,5,BUY — moderate,40
VRLLOG,VRL Logistics Limited,Industrials,Small,BullFlag,Weekly,2026-04-23,Breakout Ready,126.39,126.39,0.0,-0.004,1.55,5,BUY — moderate,15
RAMRAT,Ram Ratna Wires Limited,Industrials,Small,BullFlag,Weekly,2026-04-23,Breakout Ready,14.19,14.19,0.0,-0.006,2.8,5,BUY — moderate,15
RAMKY,Ramky Infrastructure Limited,Industrials,Small,BullFlag,Weekly,2026-04-23,Breakout Ready,14.19,14.19,0.0,-0.006,2.8,5,BUY — moderate,15
BAJFINANCE,Bajaj Finance Limited,Financial Services,Large,BullFlag,Weekly,2026-04-23,Breakout Ready,185.5,185.5,0.0,-0.011,1.79,5,BUY — moderate,15
VRLLOG,VRL Logistics Limited,Industrials,Small,InverseHS,Weekly,2026-04-23,Breakout Ready,112.24,126.39,0.0,-0.014,1.33,5,BUY — moderate,60
RAMRAT,Ram Ratna Wires Limited,Industrials,Small,FlatBase,Weekly,2026-04-23,Breakout Ready,14.24,14.19,0.0,-0.048,1.57,5,BUY — moderate,60
RAMKY,Ramky Infrastructure Limited,Industrials,Small,FlatBase,Weekly,2026-04-23,Breakout Ready,14.24,14.19,0.0,-0.048,1.57,5,BUY — moderate,60
DHAMPURSUG,Dhampur Sugar Mills Limited,Consumer Defensive,Small,BullFlag,Weekly,2026-04-20,Breakout Ready,151.62,151.62,0.0,-0.054,1.24,5,BUY — moderate,15
BAJAJELEC,Bajaj Electricals Limited,Consumer Cyclical,Small,BullFlag,Weekly,2026-04-23,Breakout Ready,2089.0,2089.0,0.0,-0.096,2.49,5,BUY — moderate,15
ELIN,Elin Electronics Limited,Industrials,Small,BullFlag,Weekly,2026-04-23,Breakout Ready,75.14,75.14,0.0,-0.182,4.41,5,BUY — moderate,15
EMAMIPAP,Emami Paper Mills Limited,Basic Materials,Micro,BullFlag,Weekly,2026-04-23,Breakout Ready,75.14,75.14,0.0,-0.182,4.41,5,BUY — moderate,15
ELLEN,ELLENBARRIE INDUS GASES L,Basic Materials,Small,BullFlag,Weekly,2026-04-23,Breakout Ready,75.14,75.14,0.0,-0.182,4.41,5,BUY — moderate,15
ECLERX,eClerx Services Limited,Technology,Mid,BullFlag,Weekly,2026-04-23,Breakout Ready,207.46,207.46,0.0,-0.192,3.72,5,BUY — moderate,20
SUDARSCHEM,Sudarshan Chemical Industries Limited,Basic Materials,Mid,BullFlag,Weekly,2026-04-23,Breakout Ready,691.0,691.0,0.0,-0.207,1.46,5,BUY — moderate,15
GODREJPROP,Godrej Properties Limited,Real Estate,Large,DoubleBottom,Weekly,2026-04-20,Breakout Ready,207.89,225.47,0.0,0.351,3.88,4,BUY — moderate,40
GOKEX,Gokaldas Exports Limited,Consumer Cyclical,Mid,DoubleBottom,Weekly,2026-04-20,Breakout Ready,207.89,225.47,0.0,0.351,3.88,4,BUY — moderate,40
ASTERDM,Aster DM Healthcare Limited,Healthcare,Large,DoubleBottom,Weekly,2026-04-20,Breakout Ready,76.65,76.73,0.0,0.319,1.45,4,BUY — moderate,40
APEX,Apex Frozen Foods Limited,,Small,BullFlag,Weekly,2026-04-23,Breakout Ready,291.93,291.93,0.0,0.309,1.36,4,BUY — moderate,15
APCOTEXIND,Apcotex Industries Limited,,Small,BullFlag,Weekly,2026-04-23,Breakout Ready,291.93,291.93,0.0,0.309,1.36,4,BUY — moderate,15
APLAPOLLO,APL Apollo Tubes Limited,,Large,BullFlag,Weekly,2026-04-23,Breakout Ready,291.93,291.93,0.0,0.309,1.36,4,BUY — moderate,15
SURANASOL,Surana Solar Limited,Technology,Micro,BullFlag,Weekly,2026-04-23,Breakout Ready,37.69,37.69,0.0,0.253,1.68,4,BUY — moderate,15
BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services,Large,DoubleBottom,Weekly,2026-04-23,Breakout Ready,1742.1,2089.0,0.0,0.245,2.95,4,BUY — moderate,100
BAJAJHFL,BAJAJ HOUSING FINANCE LTD,Financial Services,Large,DoubleBottom,Weekly,2026-04-23,Breakout Ready,1742.1,2089.0,0.0,0.245,2.95,4,BUY — moderate,100
AZAD,AZAD ENGINEERING LIMITED,,Mid,DoubleBottom,Weekly,2026-04-23,Breakout Ready,1742.1,2089.0,0.0,0.245,2.95,4,BUY — moderate,100
BAGFILMS,,,Unknown,DoubleBottom,Weekly,2026-04-23,Breakout Ready,1742.1,2089.0,0.0,0.245,2.95,4,BUY — moderate,100
LUMAXIND,,,Unknown,BullFlag,Weekly,2026-04-23,Breakout Ready,1747.05,1747.05,0.0,0.209,2.68,4,BUY — moderate,15
ZENITHEXPO,Zenith Exports Limited,,Micro,InverseHS,Weekly,2026-04-23,Breakout Ready,276.39,355.83,0.0,0.175,11.58,4,BUY — moderate,80
ZODIACLOTH,Zodiac Clothing Company Limited,Consumer Cyclical,Micro,InverseHS,Weekly,2026-04-23,Breakout Ready,276.39,355.83,0.0,0.175,11.58,4,BUY — moderate,80
ZIMLAB,ZIM Laboratories Limited,Healthcare,Micro,InverseHS,Weekly,2026-04-23,Breakout Ready,276.39,355.83,0.0,0.175,11.58,4,BUY — moderate,80
ZODIAC,Zodiac Energy Limited,,Unknown,InverseHS,Weekly,2026-04-23,Breakout Ready,276.39,355.83,0.0,0.175,11.58,4,BUY — moderate,80
ZENITHEXPO,Zenith Exports Limited,,Micro,DoubleBottom,Weekly,2026-04-23,Breakout Ready,255.68,355.83,0.0,0.137,11.58,4,BUY — moderate,40
ZODIACLOTH,Zodiac Clothing Company Limited,Consumer Cyclical,Micro,DoubleBottom,Weekly,2026-04-23,Breakout Ready,255.68,355.83,0.0,0.137,11.58,4,BUY — moderate,40
ZIMLAB,ZIM Laboratories Limited,Healthcare,Micro,DoubleBottom,Weekly,2026-04-23,Breakout Ready,255.68,355.83,0.0,0.137,11.58,4,BUY — moderate,40
ZODIAC,Zodiac Energy Limited,,Unknown,DoubleBottom,Weekly,2026-04-23,Breakout Ready,255.68,355.83,0.0,0.137,11.58,4,BUY — moderate,40
RUCHIRA,,,Unknown,InverseHS,Weekly,2026-04-23,Breakout Ready,137.53,166.73,0.0,0.129,14.74,4,BUY — moderate,60
DAVANGERE,Davangere Sugar Company Limited,Consumer Defensive,Small,InverseHS,Weekly,2026-04-23,Breakout Ready,2701.55,4114.0,0.0,0.122,3.86,4,BUY — moderate,80
DANGEE,Dangee Dums Limited,,Micro,InverseHS,Weekly,2026-04-23,Breakout Ready,2701.55,4114.0,0.0,0.122,3.86,4,BUY — moderate,80
TRENT,Trent Limited,Consumer Cyclical,Large,DoubleBottom,Daily,2026-04-23,Breakout Ready,4285.6,4260.3,0.0,0.121,2.41,4,BUY — moderate,60
VIKRAN,VIKRAN ENGINEERING LTD,Industrials,Small,BullFlag,Weekly,2026-04-23,Breakout Ready,227.48,227.48,0.0,0.118,1.29,4,BUY — moderate,15
VIDHIING,Vidhi Specialty Food Ingredients Limited,Basic Materials,Small,BullFlag,Weekly,2026-04-23,Breakout Ready,227.48,227.48,0.0,0.118,1.29,4,BUY — moderate,15
VIMTALABS,Vimta Labs Limited,Healthcare,Small,BullFlag,Weekly,2026-04-23,Breakout Ready,227.48,227.48,0.0,0.118,1.29,4,BUY — moderate,15
RELIGARE,Religare Enterprises Limited,Financial Services,Mid,DoubleBottom,Weekly,2026-04-23,Breakout Ready,25.89,28.98,0.0,0.116,2.08,4,BUY — moderate,60
RAJSREESUG,Rajshree Sugars & Chemicals Limited,Consumer Defensive,Micro,DoubleBottom,Weekly,2026-04-23,Breakout Ready,67.1,71.9,0.0,0.115,2.79,4,BUY — moderate,60
RAMANEWS,,,Unknown,DoubleBottom,Weekly,2026-04-23,Breakout Ready,67.1,71.9,0.0,0.115,2.79,4,BUY — moderate,60
RAJRATAN,Rajratan Global Wire Limited,Basic Materials,Small,DoubleBottom,Weekly,2026-04-23,Breakout Ready,67.1,71.9,0.0,0.115,2.79,4,BUY — moderate,60
RAJPALAYAM,RAJAPALAYAM MILLS LTD.,,Unknown,DoubleBottom,Weekly,2026-04-23,Breakout Ready,67.1,71.9,0.0,0.115,2.79,4,BUY — moderate,60
HAPPYFORGE,,,Unknown,FlatBase,Weekly,2026-04-23,Breakout Ready,1355.0,1355.0,0.0,0.112,1.52,4,BUY — moderate,60
HATSUN,,,Unknown,FlatBase,Weekly,2026-04-23,Breakout Ready,1355.0,1355.0,0.0,0.112,1.52,4,BUY — moderate,60
ATULAUTO,Atul Auto Limited,,Small,InverseHS,Weekly,2026-04-23,Breakout Ready,833.7,1617.2,0.0,0.096,1.32,4,BUY — moderate,80
RAJSREESUG,Rajshree Sugars & Chemicals Limited,Consumer Defensive,Micro,InverseHS,Weekly,2026-04-23,Breakout Ready,62.76,71.9,0.0,0.094,2.79,4,BUY — moderate,60
RAMANEWS,,,Unknown,InverseHS,Weekly,2026-04-23,Breakout Ready,62.76,71.9,0.0,0.094,2.79,4,BUY — moderate,60
RAJRATAN,Rajratan Global Wire Limited,Basic Materials,Small,InverseHS,Weekly,2026-04-23,Breakout Ready,62.76,71.9,0.0,0.094,2.79,4,BUY — moderate,60
RAJPALAYAM,RAJAPALAYAM MILLS LTD.,,Unknown,InverseHS,Weekly,2026-04-23,Breakout Ready,62.76,71.9,0.0,0.094,2.79,4,BUY — moderate,60
BANDHANBNK,Bandhan Bank Limited,Financial Services,Large,BullFlag,Weekly,2026-04-23,Breakout Ready,78.45,78.45,0.0,0.092,1.35,4,BUY — moderate,15
POLYCAB,Polycab India Limited,Industrials,Large,DoubleBottom,Weekly,2026-04-20,Breakout Ready,305.05,307.7,0.0,0.089,1.44,4,BUY — moderate,40
WCIL,WESTERN CARRIERS (IND) L,,Small,BullFlag,Weekly,2026-04-23,Breakout Ready,1199.15,1199.15,0.0,0.089,1.61,4,BUY — moderate,15
ASHIKA,Ashika Credit Capital Limited,,Unknown,BullFlag,Weekly,2026-04-23,Breakout Ready,316.77,315.67,0.0,0.086,1.23,4,BUY — moderate,15
ASHOKLEY,Ashok Leyland Limited,,Large,BullFlag,Weekly,2026-04-23,Breakout Ready,316.77,315.67,0.0,0.086,1.23,4,BUY — moderate,15
ASHOKA,Ashoka Buildcon Limited,,Small,BullFlag,Weekly,2026-04-23,Breakout Ready,316.77,315.67,0.0,0.086,1.23,4,BUY — moderate,15
ASIANHOTNR,Asian Hotels (North) Limited,,Small,BullFlag,Weekly,2026-04-23,Breakout Ready,316.77,315.67,0.0,0.086,1.23,4,BUY — moderate,15
ASIANENE,Asian Energy Services Limited,,Small,BullFlag,Weekly,2026-04-23,Breakout Ready,316.77,315.67,0.0,0.086,1.23,4,BUY — moderate,15
ASHAPURMIN,Ashapura Minechem Limited,,Mid,BullFlag,Weekly,2026-04-23,Breakout Ready,316.77,315.67,0.0,0.086,1.23,4,BUY — moderate,15
RELIGARE,Religare Enterprises Limited,Financial Services,Mid,FlatBase,Weekly,2026-04-23,Breakout Ready,28.98,28.98,0.0,0.085,2.08,4,BUY — moderate,40
ATULAUTO,Atul Auto Limited,,Small,DoubleBottom,Weekly,2026-04-23,Breakout Ready,936.35,1617.2,0.0,0.079,1.32,4,BUY — moderate,60
WCIL,WESTERN CARRIERS (IND) L,,Small,DoubleBottom,Weekly,2026-04-23,Breakout Ready,844.25,1199.15,0.0,0.077,3.74,4,BUY — moderate,40
DAVANGERE,Davangere Sugar Company Limited,Consumer Defensive,Small,DoubleBottom,Weekly,2026-04-23,Breakout Ready,2731.3,4114.0,0.0,0.072,3.86,4,BUY — moderate,100
DANGEE,Dangee Dums Limited,,Micro,DoubleBottom,Weekly,2026-04-23,Breakout Ready,2731.3,4114.0,0.0,0.072,3.86,4,BUY — moderate,100
MAWANASUG,,,Unknown,DoubleBottom,Weekly,2026-04-23,Breakout Ready,82.47,107.22,0.0,0.069,1.48,4,BUY — moderate,60
OCCLLTD,,,Unknown,DoubleBottom,Weekly,2026-04-23,Breakout Ready,6932.0,8868.0,0.0,0.063,7.05,4,BUY — moderate,40
OBEROIRLTY,Oberoi Realty Limited,,Large,DoubleBottom,Weekly,2026-04-23,Breakout Ready,6932.0,8868.0,0.0,0.063,7.05,4,BUY — moderate,40
NURECA,Nureca Limited,,Micro,DoubleBottom,Weekly,2026-04-23,Breakout Ready,6932.0,8868.0,0.0,0.063,7.05,4,BUY — moderate,40
OBCL,OBCL Limited,,Micro,DoubleBottom,Weekly,2026-04-23,Breakout Ready,6932.0,8868.0,0.0,0.063,7.05,4,BUY — moderate,40
NUVOCO,Nuvoco Vistas Corporation Limited,,Mid,DoubleBottom,Weekly,2026-04-23,Breakout Ready,6932.0,8868.0,0.0,0.063,7.05,4,BUY — moderate,40
OFSS,Oracle Financial Services Software Limited,Technology,Large,DoubleBottom,Weekly,2026-04-23,Breakout Ready,6932.0,8868.0,0.0,0.063,7.05,4,BUY — moderate,40
HAPPYFORGE,,,Unknown,InverseHS,Weekly,2026-04-23,Breakout Ready,1301.0,1355.0,0.0,0.053,1.52,4,BUY — moderate,60
HAPPYFORGE,,,Unknown,DoubleBottom,Weekly,2026-04-23,Breakout Ready,1311.1,1355.0,0.0,0.053,1.52,4,BUY — moderate,40
HATSUN,,,Unknown,InverseHS,Weekly,2026-04-23,Breakout Ready,1301.0,1355.0,0.0,0.053,1.52,4,BUY — moderate,60
HATSUN,,,Unknown,DoubleBottom,Weekly,2026-04-23,Breakout Ready,1311.1,1355.0,0.0,0.053,1.52,4,BUY — moderate,40
STARCEMENT,Star Cement Limited,,Mid,DoubleBottom,Weekly,2026-04-23,Breakout Ready,216.39,236.03,0.0,0.053,2.55,4,BUY — moderate,40
CRIZAC,CRIZAC LIMITED,Consumer Defensive,Small,InverseHS,Weekly,2026-04-23,Breakout Ready,248.1,254.02,0.0,0.051,1.35,4,BUY — moderate,60
MALUPAPER,,,Unknown,DoubleBottom,Weekly,2026-04-23,Breakout Ready,568.95,657.2,0.0,0.05,1.29,4,BUY — moderate,60
MAHSEAMLES,,,Unknown,DoubleBottom,Weekly,2026-04-23,Breakout Ready,568.95,657.2,0.0,0.05,1.29,4,BUY — moderate,60
STAR,Strides Pharma Science Limited,,Mid,DoubleBottom,Weekly,2026-04-23,Breakout Ready,921.6,1065.0,0.0,0.043,2.77,4,BUY — moderate,60
STALLION,STALLION IND FLUOROCHEM L,,Small,DoubleBottom,Weekly,2026-04-23,Breakout Ready,921.6,1065.0,0.0,0.043,2.77,4,BUY — moderate,60
STEELCAS,Steelcast Limited,Basic Materials,Small,DoubleBottom,Weekly,2026-04-23,Breakout Ready,921.6,1065.0,0.0,0.043,2.77,4,BUY — moderate,60
SENORES,,,Unknown,DoubleBottom,Weekly,2026-04-23,Breakout Ready,71.16,91.36,0.0,0.042,4.55,4,BUY — moderate,40
SEIL,Shanti Educational Initiatives Limited,,Unknown,DoubleBottom,Weekly,2026-04-23,Breakout Ready,71.16,91.36,0.0,0.042,4.55,4,BUY — moderate,40
TTKHLTCARE,,,Unknown,DoubleBottom,Weekly,2026-04-23,Breakout Ready,409.25,485.95,0.0,0.04,4.69,4,BUY — moderate,40
TRU,,,Unknown,DoubleBottom,Weekly,2026-04-23,Breakout Ready,409.25,485.95,0.0,0.04,4.69,4,BUY — moderate,40
TVSELECT,,,Unknown,DoubleBottom,Weekly,2026-04-23,Breakout Ready,409.25,485.95,0.0,0.04,4.69,4,BUY — moderate,40
TRUALT,,,Unknown,DoubleBottom,Weekly,2026-04-23,Breakout Ready,409.25,485.95,0.0,0.04,4.69,4,BUY — moderate,40
JAGRAN,,,Unknown,DoubleBottom,Weekly,2026-04-23,Breakout Ready,194.62,202.72,0.0,0.039,1.55,4,BUY — moderate,40
IXIGO,,,Unknown,DoubleBottom,Weekly,2026-04-23,Breakout Ready,194.62,202.72,0.0,0.039,1.55,4,BUY — moderate,40
JAMNAAUTO,,,Unknown,DoubleBottom,Weekly,2026-04-23,Breakout Ready,194.62,202.72,0.0,0.039,1.55,4,BUY — moderate,40
IPCALAB,,,Unknown,DoubleBottom,Weekly,2026-04-23,Breakout Ready,118.57,137.5,0.0,0.03,1.28,4,BUY — moderate,40
RUCHIRA,,,Unknown,DoubleBottom,Weekly,2026-04-23,Breakout Ready,153.17,166.73,0.0,0.026,14.74,4,BUY — moderate,60
BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services,Large,InverseHS,Weekly,2026-04-23,Breakout Ready,1614.0,2089.0,0.0,0.024,2.95,4,BUY — moderate,120
BAJAJHFL,BAJAJ HOUSING FINANCE LTD,Financial Services,Large,InverseHS,Weekly,2026-04-23,Breakout Ready,1614.0,2089.0,0.0,0.024,2.95,4,BUY — moderate,120
AZAD,AZAD ENGINEERING LIMITED,,Mid,InverseHS,Weekly,2026-04-23,Breakout Ready,1614.0,2089.0,0.0,0.024,2.95,4,BUY — moderate,120
BAGFILMS,,,Unknown,InverseHS,Weekly,2026-04-23,Breakout Ready,1614.0,2089.0,0.0,0.024,2.95,4,BUY — moderate,120
STAR,Strides Pharma Science Limited,,Mid,InverseHS,Weekly,2026-04-23,Breakout Ready,900.88,1065.0,0.0,0.018,2.77,4,BUY — moderate,60
STALLION,STALLION IND FLUOROCHEM L,,Small,InverseHS,Weekly,2026-04-23,Breakout Ready,900.88,1065.0,0.0,0.018,2.77,4,BUY — moderate,60
STEELCAS,Steelcast Limited,Basic Materials,Small,InverseHS,Weekly,2026-04-23,Breakout Ready,900.88,1065.0,0.0,0.018,2.77,4,BUY — moderate,60
BI,,,Unknown,AscTriangle,Weekly,2026-04-23,Breakout Ready,628.2,691.25,0.0,0.016,1.33,4,BUY — moderate,30
BIGBLOC,,,Unknown,AscTriangle,Weekly,2026-04-23,Breakout Ready,628.2,691.25,0.0,0.016,1.33,4,BUY — moderate,30
BIKAJI,Bikaji Foods International Limited,Consumer Defensive,Mid,AscTriangle,Daily,2026-04-23,Breakout Ready,628.2,691.25,0.0,0.016,1.33,4,BUY — moderate,30
MALUPAPER,,,Unknown,InverseHS,Weekly,2026-04-23,Breakout Ready,549.0,657.2,0.0,0.016,1.29,4,BUY — moderate,120
MAHSEAMLES,,,Unknown,InverseHS,Weekly,2026-04-23,Breakout Ready,549.0,657.2,0.0,0.016,1.29,4,BUY — moderate,120
RELIGARE,Religare Enterprises Limited,Financial Services,Mid,InverseHS,Weekly,2026-04-23,Breakout Ready,25.6,28.98,0.0,0.014,2.08,4,BUY — moderate,60
TTKHLTCARE,,,Unknown,InverseHS,Weekly,2026-04-23,Breakout Ready,423.28,485.95,0.0,0.012,4.69,4,BUY — moderate,60
TRU,,,Unknown,InverseHS,Weekly,2026-04-23,Breakout Ready,423.28,485.95,0.0,0.012,4.69,4,BUY — moderate,60
TVSELECT,,,Unknown,InverseHS,Weekly,2026-04-23,Breakout Ready,423.28,485.95,0.0,0.012,4.69,4,BUY — moderate,60
TRUALT,,,Unknown,InverseHS,Weekly,2026-04-23,Breakout Ready,423.28,485.95,0.0,0.012,4.69,4,BUY — moderate,60
BI,,,Unknown,DoubleBottom,Weekly,2026-04-23,Breakout Ready,674.15,691.25,0.0,0.011,1.33,4,BUY — moderate,60
BIGBLOC,,,Unknown,DoubleBottom,Weekly,2026-04-23,Breakout Ready,674.15,691.25,0.0,0.011,1.33,4,BUY — moderate,60
BIKAJI,Bikaji Foods International Limited,Consumer Defensive,Mid,DoubleBottom,Daily,2026-04-23,Breakout Ready,674.15,691.25,0.0,0.011,1.33,4,BUY — moderate,60
ELITECON,Elitecon International Limited,,Unknown,InverseHS,Weekly,2026-04-23,Breakout Ready,60.27,75.14,0.0,0.01,3.71,4,BUY — moderate,60
EMAMILTD,Emami Limited,Consumer Defensive,Large,InverseHS,Weekly,2026-04-23,Breakout Ready,60.27,75.14,0.0,0.01,3.71,4,BUY — moderate,60
ATULAUTO,Atul Auto Limited,,Small,BullFlag,Weekly,2026-04-23,Breakout Ready,1617.2,1617.2,0.0,0.009,1.52,4,BUY — moderate,30
JAGRAN,,,Unknown,FlatBase,Weekly,2026-04-23,Breakout Ready,202.72,202.72,0.0,0.006,1.55,4,BUY — moderate,40
IXIGO,,,Unknown,FlatBase,Weekly,2026-04-23,Breakout Ready,202.72,202.72,0.0,0.006,1.55,4,BUY — moderate,40
JAMNAAUTO,,,Unknown,FlatBase,Weekly,2026-04-23,Breakout Ready,202.72,202.72,0.0,0.006,1.55,4,BUY — moderate,40
SURANAT&P,Surana Telecom and Power Limited,Utilities,Micro,BullFlag,Weekly,2026-04-23,Breakout Ready,59.52,59.52,0.0,0.005,1.22,4,BUY — moderate,15
STARCEMENT,Star Cement Limited,,Mid,InverseHS,Weekly,2026-04-23,Breakout Ready,218.07,236.03,0.0,-0.0,2.55,4,BUY — moderate,60
VRAJ,VRAJ IRON AND STEEL LTD,,Micro,DoubleBottom,Weekly,2026-04-23,Breakout Ready,114.91,126.39,0.0,-0.002,1.33,4,BUY — moderate,40
CRIZAC,CRIZAC LIMITED,Consumer Defensive,Small,DoubleBottom,Weekly,2026-04-23,Breakout Ready,250.15,254.02,0.0,-0.003,1.35,4,BUY — moderate,40
ELITECON,Elitecon International Limited,,Unknown,DoubleBottom,Weekly,2026-04-23,Breakout Ready,60.45,75.14,0.0,-0.003,3.71,4,BUY — moderate,40
EMAMILTD,Emami Limited,Consumer Defensive,Large,DoubleBottom,Weekly,2026-04-23,Breakout Ready,60.45,75.14,0.0,-0.003,3.71,4,BUY — moderate,40
MAWANASUG,,,Unknown,FlatBase,Weekly,2026-04-23,Breakout Ready,107.22,107.22,0.0,-0.003,1.48,4,BUY — moderate,40
VRAJ,VRAJ IRON AND STEEL LTD,,Micro,BullFlag,Weekly,2026-04-23,Breakout Ready,126.39,126.39,0.0,-0.004,1.55,4,BUY — moderate,15
WCIL,WESTERN CARRIERS (IND) L,,Small,InverseHS,Weekly,2026-04-23,Breakout Ready,813.3,1199.15,0.0,-0.006,3.74,4,BUY — moderate,80
WCIL,WESTERN CARRIERS (IND) L,,Small,AscTriangle,Weekly,2026-04-23,Breakout Ready,835.55,1199.15,0.0,-0.006,3.74,4,BUY — moderate,30
ESSARSHPNG,Essar Shipping Limited,,Small,InverseHS,Weekly,2026-04-23,Breakout Ready,2376.5,2679.8,0.0,-0.008,1.39,4,BUY — moderate,60
ESSENTIA,Integra Essentia Limited,,Micro,InverseHS,Weekly,2026-04-23,Breakout Ready,2376.5,2679.8,0.0,-0.008,1.39,4,BUY — moderate,60
ESAFSFB,ESAF Small Finance Bank,,Small,InverseHS,Weekly,2026-04-23,Breakout Ready,2376.5,2679.8,0.0,-0.008,1.39,4,BUY — moderate,60
ESABINDIA,ESAB India Limited,,Mid,InverseHS,Weekly,2026-04-23,Breakout Ready,2376.5,2679.8,0.0,-0.008,1.39,4,BUY — moderate,60
