Stock,Name,Sector,Cap,Pattern,TF,Date,Status,Breakout_Zone,CMP,Upside_%,Quality,Vol_Surge,CANSLIM,Reco,Window
PRICOLLTD,Pricol Limited,,Mid,FlatBase,Weekly,2026-04-23,Pattern Formed,1034.6,1002.85,3.17,-0.016,0.48,4,WATCH — mixed,40
PREMIERENE,PREMIER ENERGIES LIMITED,,Large,FlatBase,Weekly,2026-04-23,Pattern Formed,1034.6,1002.85,3.17,-0.016,0.48,4,WATCH — mixed,40
PREMCO,Premco Global Limited,,Unknown,FlatBase,Weekly,2026-04-23,Pattern Formed,1034.6,1002.85,3.17,-0.016,0.48,4,WATCH — mixed,40
PRICOLLTD,Pricol Limited,,Mid,BullFlag,Weekly,2026-04-23,Pattern Formed,1002.85,1002.85,0.0,-0.017,1.09,4,WATCH — mixed,15
PREMIERENE,PREMIER ENERGIES LIMITED,,Large,BullFlag,Weekly,2026-04-23,Pattern Formed,1002.85,1002.85,0.0,-0.017,1.09,4,WATCH — mixed,15
PREMCO,Premco Global Limited,,Unknown,BullFlag,Weekly,2026-04-23,Pattern Formed,1002.85,1002.85,0.0,-0.017,1.09,4,WATCH — mixed,15
SONACOMS,Sona BLW Precision Forgings Limited,,Large,FlatBase,Weekly,2026-04-23,Pattern Formed,593.85,573.5,3.55,-0.017,0.5,4,WATCH — mixed,60
SONAL,Sonal Mercantile Limited,,Unknown,FlatBase,Weekly,2026-04-23,Pattern Formed,593.85,573.5,3.55,-0.017,0.5,4,WATCH — mixed,60
SIGMAADV,Sigma Advanced Systems Limited,,Small,FlatBase,Weekly,2026-04-23,Pattern Formed,79.79,77.71,2.68,-0.018,0.86,4,WATCH — mixed,60
SURAJEST,SURAJ ESTATE DEVELOPERS L,Real Estate,Small,InverseHS,Daily,2026-04-23,Pattern Formed,472.95,425.5,11.15,-0.019,0.3,4,WATCH — mixed,120
TATVA,Tatva Chintan Pharma Chem Limited,Basic Materials,Small,InverseHS,Daily,2026-04-23,Pattern Formed,391.7,428.8,-8.65,-0.019,0.69,4,WATCH — mixed,60
TCC,TCC Concept Limited,,Unknown,DoubleBottom,Weekly,2026-04-23,Pattern Formed,630.7,563.25,11.98,-0.019,0.67,4,WATCH — mixed,60
TBZ,Tribhovandas Bhimji Zaveri Limited,Consumer Cyclical,Small,InverseHS,Daily,2026-04-23,Pattern Formed,391.7,428.8,-8.65,-0.019,0.69,4,WATCH — mixed,60
HARDWYN,,,Unknown,FlatBase,Weekly,2026-04-23,Pattern Formed,1013.7,1009.9,0.38,-0.022,0.33,4,WATCH — mixed,40
SURAJEST,SURAJ ESTATE DEVELOPERS L,Real Estate,Small,FlatBase,Daily,2026-04-23,Pattern Formed,471.86,425.5,10.9,-0.022,0.3,4,WATCH — mixed,80
SKFINDIA,SKF India Limited,Industrials,Mid,InverseHS,Weekly,2026-04-23,Pattern Formed,1828.9,1726.7,5.92,-0.023,0.29,4,WATCH — mixed,120
GPTINFRA,,,Unknown,InverseHS,Weekly,2026-04-23,Pattern Formed,109.93,116.74,-5.83,-0.025,0.3,4,WATCH — mixed,60
GPPL,,,Unknown,InverseHS,Weekly,2026-04-23,Pattern Formed,109.93,116.74,-5.83,-0.025,0.3,4,WATCH — mixed,60
PIIND,PI Industries Limited,,Large,BullFlag,Weekly,2026-04-23,Pattern Formed,4871.4,4806.4,1.35,-0.025,0.93,4,WATCH — mixed,15
PIONEEREMB,Pioneer Embroideries Limited,,Micro,BullFlag,Weekly,2026-04-23,Pattern Formed,4871.4,4806.4,1.35,-0.025,0.93,4,WATCH — mixed,15
PITTIENG,Pitti Engineering Limited,Industrials,Small,BullFlag,Weekly,2026-04-23,Pattern Formed,4871.4,4806.4,1.35,-0.025,0.93,4,WATCH — mixed,15
PIIND,PI Industries Limited,,Large,FlatBase,Weekly,2026-04-23,Pattern Formed,4928.4,4806.4,2.54,-0.027,0.73,4,WATCH — mixed,40
PIONEEREMB,Pioneer Embroideries Limited,,Micro,FlatBase,Weekly,2026-04-23,Pattern Formed,4928.4,4806.4,2.54,-0.027,0.73,4,WATCH — mixed,40
PITTIENG,Pitti Engineering Limited,Industrials,Small,FlatBase,Weekly,2026-04-23,Pattern Formed,4928.4,4806.4,2.54,-0.027,0.73,4,WATCH — mixed,40
SUMICHEM,Sumitomo Chemical India Limited,Basic Materials,Large,FlatBase,Weekly,2026-04-23,Pattern Formed,691.0,691.0,0.0,-0.027,0.68,4,WATCH — mixed,40
TECHNOE,Techno Electric & Engineering Company Limited,Industrials,Mid,BullFlag,Weekly,2026-04-23,Pattern Formed,1724.5,1711.5,0.76,-0.027,0.58,4,WATCH — mixed,20
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,Financial Services,Large,BullFlag,Weekly,2026-04-23,Pattern Formed,1589.2,1546.2,2.78,-0.028,1.57,4,WATCH — mixed,15
PRICOLLTD,Pricol Limited,,Mid,InverseHS,Weekly,2026-04-23,Pattern Formed,846.98,1002.85,-15.54,-0.028,0.48,4,WATCH — mixed,60
PREMIERENE,PREMIER ENERGIES LIMITED,,Large,InverseHS,Weekly,2026-04-23,Pattern Formed,846.98,1002.85,-15.54,-0.028,0.48,4,WATCH — mixed,60
PREMCO,Premco Global Limited,,Unknown,InverseHS,Weekly,2026-04-23,Pattern Formed,846.98,1002.85,-15.54,-0.028,0.48,4,WATCH — mixed,60
SONACOMS,Sona BLW Precision Forgings Limited,,Large,InverseHS,Weekly,2026-04-23,Pattern Formed,522.75,573.5,-8.85,-0.028,0.5,4,WATCH — mixed,60
SONAL,Sonal Mercantile Limited,,Unknown,InverseHS,Weekly,2026-04-23,Pattern Formed,522.75,573.5,-8.85,-0.028,0.5,4,WATCH — mixed,60
APEX,Apex Frozen Foods Limited,,Small,InverseHS,Weekly,2026-04-23,Pattern Formed,221.93,291.93,-23.98,-0.029,1.09,4,WATCH — mixed,60
APCOTEXIND,Apcotex Industries Limited,,Small,InverseHS,Weekly,2026-04-23,Pattern Formed,221.93,291.93,-23.98,-0.029,1.09,4,WATCH — mixed,60
APLAPOLLO,APL Apollo Tubes Limited,,Large,InverseHS,Weekly,2026-04-23,Pattern Formed,221.93,291.93,-23.98,-0.029,1.09,4,WATCH — mixed,60
TIMEX,Timex Group India Limited,Consumer Cyclical,Unknown,InverseHS,Weekly,2026-04-23,Pattern Formed,386.15,395.15,-2.28,-0.029,0.29,4,WATCH — mixed,60
SBFC,,,Unknown,FlatBase,Weekly,2026-04-23,Pattern Formed,98.67,96.04,2.74,-0.031,0.15,4,WATCH — mixed,60
EMUDHRA,eMudhra Limited,Technology,Small,InverseHS,Daily,2026-04-23,Pattern Formed,1484.3,1597.6,-7.09,-0.032,0.3,4,WATCH — mixed,120
PPAP,PPAP Automotive Limited,,Micro,BullFlag,Weekly,2026-04-23,Pattern Formed,31435.0,31435.0,0.0,-0.033,1.14,4,WATCH — mixed,15
POWERINDIA,,,Unknown,BullFlag,Weekly,2026-04-23,Pattern Formed,31435.0,31435.0,0.0,-0.033,1.14,4,WATCH — mixed,15
CONCOR,Container Corporation of India Limited,,Large,InverseHS,Weekly,2026-04-23,Pattern Formed,1570.85,1652.7,-4.95,-0.034,1.13,4,WATCH — mixed,80
CORONA,CORONA REMEDIES LIMITED,Healthcare,Unknown,InverseHS,Weekly,2026-04-23,Pattern Formed,1570.85,1652.7,-4.95,-0.034,1.13,4,WATCH — mixed,80
CORALFINAC,Coral India Finance and Housing Limited,Real Estate,Micro,InverseHS,Daily,2026-04-23,Pattern Formed,1570.85,1652.7,-4.95,-0.034,1.13,4,WATCH — mixed,80
SELMC,SEL Manufacturing Company Limited,Consumer Cyclical,Micro,FlatBase,Weekly,2026-04-23,Pattern Formed,345.97,323.5,6.95,-0.038,0.11,4,WATCH — mixed,60
CONCOR,Container Corporation of India Limited,,Large,BullFlag,Weekly,2026-04-23,Pattern Formed,1652.7,1652.7,0.0,-0.04,0.68,4,WATCH — mixed,15
CORONA,CORONA REMEDIES LIMITED,Healthcare,Unknown,BullFlag,Weekly,2026-04-23,Pattern Formed,1652.7,1652.7,0.0,-0.04,0.68,4,WATCH — mixed,15
CORALFINAC,Coral India Finance and Housing Limited,Real Estate,Micro,BullFlag,Daily,2026-04-23,Pattern Formed,1652.7,1652.7,0.0,-0.04,0.68,4,WATCH — mixed,15
TECHNOE,Techno Electric & Engineering Company Limited,Industrials,Mid,FlatBase,Weekly,2026-04-23,Pattern Formed,1846.7,1711.5,7.9,-0.04,0.15,4,WATCH — mixed,60
FSL,Firstsource Solutions Limited,Technology,Mid,FlatBase,Weekly,2026-04-23,Pattern Formed,5254.0,4716.1,11.41,-0.041,0.5,4,WATCH — mixed,40
JSL,,,Unknown,FlatBase,Weekly,2026-04-23,Pattern Formed,129.45,126.53,2.31,-0.041,0.48,4,WATCH — mixed,60
JSWINFRA,,,Unknown,FlatBase,Weekly,2026-04-23,Pattern Formed,129.45,126.53,2.31,-0.041,0.48,4,WATCH — mixed,60
JTEKTINDIA,,,Unknown,FlatBase,Weekly,2026-04-23,Pattern Formed,129.45,126.53,2.31,-0.041,0.48,4,WATCH — mixed,60
JSWENERGY,,,Unknown,FlatBase,Weekly,2026-04-23,Pattern Formed,129.45,126.53,2.31,-0.041,0.48,4,WATCH — mixed,60
SEPC,SEPC Limited,Industrials,Small,FlatBase,Daily,2026-04-20,Pattern Formed,351.36,323.5,8.61,-0.041,0.26,4,WATCH — mixed,40
COHANCE,COHANCE LIFESCIENCES LTD,Healthcare,Mid,BullFlag,Weekly,2026-04-20,Pattern Formed,450.3,450.3,0.0,-0.043,0.48,4,WATCH — mixed,15
INDIANCARD,,,Unknown,InverseHS,Weekly,2026-04-23,Pattern Formed,923.41,973.55,-5.15,-0.044,0.72,4,WATCH — mixed,60
INDIANHUME,,,Unknown,InverseHS,Weekly,2026-04-23,Pattern Formed,923.41,973.55,-5.15,-0.044,0.72,4,WATCH — mixed,60
INDIAGLYCO,,,Unknown,InverseHS,Weekly,2026-04-23,Pattern Formed,923.41,973.55,-5.15,-0.044,0.72,4,WATCH — mixed,60
PRITIKAUTO,Pritika Auto Industries Limited,Industrials,Micro,FlatBase,Daily,2026-04-20,Pattern Formed,314.45,279.45,12.52,-0.044,0.23,4,WATCH — mixed,40
LUPIN,,,Unknown,InverseHS,Weekly,2026-04-23,Pattern Formed,1318.95,1691.8,-22.04,-0.045,0.52,4,WATCH — mixed,80
MAANALU,,,Unknown,InverseHS,Weekly,2026-04-23,Pattern Formed,1318.95,1691.8,-22.04,-0.045,0.52,4,WATCH — mixed,80
SELMC,SEL Manufacturing Company Limited,Consumer Cyclical,Micro,BullFlag,Weekly,2026-04-23,Pattern Formed,332.85,323.5,2.89,-0.045,0.42,4,WATCH — mixed,15
KSHINTL,,,Unknown,FlatBase,Weekly,2026-04-23,Pattern Formed,996.1,978.25,1.82,-0.047,0.37,4,WATCH — mixed,40
INDIANCARD,,,Unknown,BullFlag,Weekly,2026-04-23,Pattern Formed,977.05,973.55,0.36,-0.049,1.11,4,WATCH — mixed,15
INDIANHUME,,,Unknown,BullFlag,Weekly,2026-04-23,Pattern Formed,977.05,973.55,0.36,-0.049,1.11,4,WATCH — mixed,15
INDIAGLYCO,,,Unknown,BullFlag,Weekly,2026-04-23,Pattern Formed,977.05,973.55,0.36,-0.049,1.11,4,WATCH — mixed,15
